id,category,subCategory,detailCategory,tags
250,안전·응급처치,사고대처,익수자구조,타력접근법
251,선박운용,선박특성,구조 및 치수,트림
252,안전·응급처치,구명설비,구명장비,구명뗏목(수압이탈장치)
253,선박운용,선박특성,구조 및 치수,총톤수·순톤수
254,선박운용,조종술,추진과선회,배출류·흡입류
255,선박운용,조종술,특수수역조종,좁은수로조종
256,선박운용,조종술,이접안·계류,흡인·배척작용
257,항해·기상,항해,항해계기,AIS·VHF
258,선박운용,조종술,악천후항법,히브투·라이투
259,법규,해상교통안전법,항법일반,마주치는상태
260,선박운용,조종술,악천후항법,스커딩
261,선박운용,조종술,이접안·계류,현측접안
262,안전·응급처치,사고대처,비상대처,화재진압(B급/C급)
263,안전·응급처치,구명설비,조난신호,신호홍염·발연부신호
264,안전·응급처치,사고대처,익수자구조,타력접근법
265,안전·응급처치,사고대처,익수자구조,무동력보트구조
266,법규,해상교통안전법,음향·조난신호,변침·후진신호
267,안전·응급처치,구명설비,조난신호,로켓낙하산
268,항해·기상,항해,위치선·방위,상대방위
269,항해·기상,항해,위치선·방위,교차방위법
270,선박운용,조종술,이접안·계류,흡인·배척작용
271,선박운용,조종술,추진과선회,킥(Kick)
272,항해·기상,기상·해양,조석과조류,정조·게류
273,법규,해상교통안전법,음향·조난신호,무중신호
274,항해·기상,항해,항로표지,우현·좌현표지
275,항해·기상,항해,해도와수로지,해도기호(저질)
276,항해·기상,항해,해도와수로지,항행통보·항로지
277,선박운용,조종술,특수수역조종,벤틸레이션
278,안전·응급처치,구명설비,조난신호,EPIRB
279,선박운용,선박특성,복원성 및 저항,복원력
280,항해·기상,항해,항로표지,측방·방위표지
281,기관,기관구조,연료 및 전기점화,연료펌프·인젝터
282,기관,기관구조,기초원리,열효율
283,기관,운전정비,고장진단,진동·소음원인
284,기관,기관구조,윤활 및 냉각계통,오일펌프
285,기관,기관구조,윤활 및 냉각계통,서모스탯(수온조절기)
286,기관,기관구조,윤활 및 냉각계통,서모스탯(수온조절기)
