sheet,row,scientificName,koreanName,detailGroup
무척추동물,5798,Alcyonidium pulposum,,태형동물
무척추동물,5799,Arachnoidella protecta,,태형동물
무척추동물,5800,Penetrantia taeanata,,태형동물
무척추동물,5801,Walkeria prorepens,,태형동물
무척추동물,5804,Amathia acervata,,태형동물
무척추동물,5807,Amathia medullaris,,태형동물
무척추동물,5812,Nevianipora pulcherrima,,태형동물
무척추동물,5813,Exidmonea intercalata,,태형동물
무척추동물,5817,Tubulipora similis,,태형동물
무척추동물,5818,Hornera jeongsangi,,태형동물
무척추동물,5822,Filicrisia cygnus,,태형동물
무척추동물,5823,Bicrisia erecta,,태형동물
무척추동물,5824,Crisia cuneata,,태형동물
무척추동물,5825,Crisia elongata,,태형동물
무척추동물,5826,Crisia jejuensis,,태형동물
무척추동물,5828,Crisia spissus,,태형동물
무척추동물,5830,Primavelans glabricollaris,,태형동물
무척추동물,5831,Pacificincola perforata,,태형동물
무척추동물,5878,Thalamoporella californica,,태형동물
무척추동물,5882,Onychocella subsymmetrica,,태형동물
무척추동물,5902,Biflustra grandicella,,태형동물
무척추동물,5928,Cribrilina flavomaris,,태형동물
무척추동물,5953,Scruparia ambigua,,태형동물
무척추동물,6019,Immergentia cheongpodensis,,태형동물
무척추동물,6067,Chelyosoma siboja,,미삭동물
무척추동물,6068,Chelyosoma yezoense,,미삭동물
무척추동물,6145,Botrylloides diegensis,,미삭동물
무척추동물,6168,Brachionus rotundiformis,,무척추기타
무척추동물,6177,Hubrechtella ijimai,,무척추기타
무척추동물,6178,Lineus fuscoviridis,,무척추기타
무척추동물,6186,Tetranchyroderma hummoni,,무척추기타
무척추동물,6211,Cryptostylochus koreensis,,무척추기타
무척추동물,6213,Notocomplana koreana,,무척추기타
무척추동물,6214,Pseudostylochus okudai,,무척추기타
무척추동물,6215,Crytostylochus koreensis,,무척추기타
무척추동물,6217,Prosthiostomum asiaticum,,무척추기타
무척추동물,6218,Munseoma maculata,,무척추기타
무척추동물,6219,Golfingia (Golfingia) vulgaris vulgaris,,무척추기타
무척추동물,6223,Phascolosoma (Phascolosoma) nigrescens,,무척추기타
무척추동물,6224,Phascolosoma (Phascolosoma) granulatum,,무척추기타
무척추동물,6228,Aspidosiphon (Paraspidosiphon) steenstrupii,,무척추기타
무척추동물,6229,Kinostylochus elongatus,,무척추기타
무척추동물,6230,Condyloderes megastigma,,무척추기타
무척추동물,6231,Kinostylochus longipenis,,무척추기타
무척추동물,6232,Campyloderes macquariae,,무척추기타
무척추동물,6233,Meristoderes herranzae,,무척추기타
무척추동물,6234,Meristoderes elleae,,무척추기타
무척추동물,6235,Meristoderes imugi,,무척추기타
무척추동물,6236,Meristoderes glaber,,무척추기타
무척추동물,6237,Echinoderes obtuspinosus,,무척추기타
무척추동물,6238,Echinoderes cernunnos,,무척추기타
무척추동물,6239,Echinoderes lanceolatus,,무척추기타
무척추동물,6240,Echinoderes microaperturus,,무척추기타
무척추동물,6241,Echinoderes tchefouensis,,무척추기타
무척추동물,6242,Echinoderes aspinosus,,무척추기타
무척추동물,6243,Zelinkaderes yong,,무척추기타
무척추동물,6244,Sphenoderes poseidon,,무척추기타
무척추동물,6245,Paracentrophyes anurus,,무척추기타
무척추동물,6246,Dracoderes nidhug,,무척추기타
무척추동물,6271,Lingula adamsi,,무척추기타
무척추동물,6272,Discradisca stella,,무척추기타
무척추동물,6274,Zygonaria davidsoni,,무척추기타
무척추동물,6275,Terebratalia coreanica,,무척추기타
무척추동물,6276,Terebratulina valdiviae,,무척추기타
무척추동물,6277,Terebratulina retusa,,무척추기타
무척추동물,6278,Terebratulina japonica,,무척추기타
무척추동물,6279,Pictothyris picta,,무척추기타
무척추동물,6280,Campages mariae,,무척추기타
무척추동물,6281,Laqueus rubellus,,무척추기타
무척추동물,6294,Siphonosoma cumanense,,무척추기타
무척추동물,6296,Benedenia sekii,,무척추기타
무척추동물,6297,Anoplodiscus tai,,무척추기타
무척추동물,6298,Anoplodiscus spari,,무척추기타
무척추동물,6299,Udonella fugu,,무척추기타
무척추동물,6300,Choricotyle elongata,,무척추기타
무척추동물,6319,Phoronis australis,,무척추기타
무척추동물,6342,Hexarthra fennica,,무척추기타
식물,10,Augophyllum japonicum,,홍조류
식물,39,Dipterocladia cylindrica,,홍조류
식물,61,Bryocladia freshwateri,,홍조류
식물,63,Chondrophycus coreanus,,홍조류
식물,67,Leptosiphonia brodiei,,홍조류
식물,68,Kapraunia morroides,,홍조류
식물,69,Kapraunia amplacapilli,,홍조류
식물,70,Eutrichosiphonia sabulosia,,홍조류
