일련번호,최대승객수,최대선원수,출입항명,낚시어선영업구역명,낚시어선영업장소명,영업장소특수주소
19071,5,1,장승포항,경상남도  연안일원,경상남도 거제시 장승포동 장승포항,장승포항
19072,6,1,동부면 함박항,경상남도  연안일원,경상남도 거제시 동부면 가배리 함박항,함박항
19073,5,1,일운면 내도항,경상남도  연안일원,경상남도 거제시 일운면 와현리 내도항,내도항
19074,7,1,남부면 탑포항,경상남도  연안일원,경상남도 거제시 남부면 탑포리 탑포항,탑포항
19075,4,1,,경상남도  연안일원,경상남도 거제시 동부면 가배항,가배항
19076,11,1,통개항,충남도 해상일원,소원면 통개항,
19077,17,1,통개항,충남도 해상일원,소원면 통개항,
19078,20,2,안흥내항,충남도 해상일원,근흥면 신진도항,
19079,4,1,장돌포항,충남도 해상일원,고남면 장돌포항,
19080,7,1,만대항,충남도 해상일원,이원면 만대항,
19081,11,1,백사장항,충남도 해상일원,안면읍 백사장항,
19082,5,1,학동항,경상남도  연안일원,경상남도 거제시 동부면 학동리 학동항,
19083,5,1,어구항,경상남도  연안일원,경상남도 거제시 둔덕면 어구리 어구항,
19084,5,1,해안항,경상남도  연안일원,경상남도 거제시 하청면 덕곡리 해안항,
19085,9,1,어은들항,충남도 해상일원,소원면 어은돌항,
19086,8,1,구조라항,경상남도  연안일원,경상남도 거제시 일운면 구조라리,
19087,21,1,마검포항,충청남도 해상일원,남면 마검포항,
19088,15,1,안면읍(방포항),충청남도 해상일원,안면읍 방포항,
19089,20,2,안흥항,충청남도 해상일원,근흥면 신진도항,
19090,13,1,안흥항,충남도 해상일원,근흥면 안흥항,
19091,15,1,안흥외항,충남도 해상일원,근흥면 안흥외항,
19092,16,1,모항항,충남도 해상일원,소원면 모항항,
19093,6,1,,,,
19094,7,1,만대항,충남도 해상일원,이원면 만대항,
19095,7,1,마검포항,충남도 해상일원,남면 마검포항,
19096,12,1,안흥외항,충남도 해상일원,근흥면 안흥외항,
19097,8,1,마검포항,충남도 해상일원,남면 마검포항,
19098,11,1,어은들항,충남도 해상일원,소원면 모항항,
19099,5,1,만수동항,충남도 해상일원,고남면 만수동항,
19100,5,1,황도항,충남도 해상일원,안면읍 백사장항,
19101,7,1,학암포항,충남도 해상일원,원북면 학암포항,
19102,11,1,안흥외항,충남도 해상일원,근흥면 안흥외항,
19103,5,1,고남 장곰항,충남도 해상일원,고남면 장곰항,
19104,9,1,안흥내항,충남도 해상일원,근흥면 안흥항,
19105,11,1,통개항,충남도 해상일원,소원면 통개항,
19106,9,1,천리포항,충남도 해상일원,소원면 천리포항,
19107,16,1,소원 모항항,충남도 해상일원,소원면 모항항,
19108,4,1,당암리항,충남도 해상일원,남면 당암항,
19109,7,1,마검포항,충남도 해상일원,남면 마검포항,
19110,11,1,청산항,충남도 해상일원,원북면 청산항,
19111,11,1,신온항,충남도 해상일원,남면 신온항,
19112,5,1,만대항,충남도 해상일원,이원면 만대항,
19113,11,1,황골항,충남도 해상일원,근흥면 황골항,
19114,3,1,여차선착장,경상남도  연안일원,경상남도 거제시 남부면 다포리,
19115,9,1,장승포항,경상남도  연안일원,경상남도 거제시 장승포동,
19116,4,1,시방항,경상남도  연안일원,경상남도 거제시 장목면,
19117,8,1,사곡항,경상남도  연안일원,경상남도 거제시 사등면,
19118,11,1,남부면 근포·대포항,경상남도  연안일원,경상남도 거제시 남부면 다포리 근포·대포항,근포·대포항
19166,2,17,만석부두,,만석부두,
19119,6,1,사등면 견내량항,경상남도  연안일원,경상남도 거제시 사등면 견내량항,견내량항
19120,3,1,동부면 오송항,경상남도  연안일원,경상남도 거제시 동부면 오송항,오송항
19121,11,1,거제면 거제항,경상남도  연안일원,경상남도 거제시 거제면 거제항,거제항
19122,6,1,장목면 관포항,경상남도  연안일원,경상남도 거제시 장목면 관포리 관포항,관포항
19123,11,1,남부면 다대다포항,경상남도  연안일원,경상남도 거제시 남부면 다대다포항,다대다포항
19124,18,1,남부면 대포근포항,경상남도  연안일원,경상남도 거제시 남부면 대포근포항,대포근포항
19125,18,1,안흥항,충청남도  연안일원,충청남도 태안군 근흥면 정죽리,
19126,17,1,안흥항,충청남도  연안일원,충청남도 태안군 근흥면 정죽리,
19127,15,1,안흥항,충청남도  연안일원,충청남도 태안군 근흥면 정죽리,
19128,11,1,어은들,충청남도  연안일원,충청남도 태안군 소원면 모항리,
19129,17,1,통개항,충청남도  연안일원,충청남도 태안군 소원면 파도리,
19130,11,1,신진항,충청남도  연안일원,충청남도 태안군 근흥면 신진도리,
19131,20,2,안흥항,충청남도  연안일원,충청남도 태안군 근흥면 정죽리,
19132,14,1,안흥항,충청남도  연안일원,충청남도 태안군 근흥면 정죽리,
19133,21,1,안흥,충청남도  연안일원,충청남도 태안군 근흥면 정죽리,
19134,15,1,안흥항,충청남도  연안일원,충청남도 태안군 근흥면 정죽리,
19135,10,1,신진항,충청남도  연안일원,충청남도 태안군 근흥면 신진도리,
19136,11,1,원북면 학암포항,충청남도  연안일원,,
19137,15,1,방포항,충청남도  연안일원,충청남도 태안군 안면읍 승언리,
19138,11,1,학암포항,충남해상일원,학암포출장소,
19139,11,1,어은들항,충남해상일원,모항출장소,
19140,11,1,만대항,충남해상일원,내리대행신고소,
19141,15,1,안흥내항,충남해상일원,안흥출장소,
19142,7,1,내리항,충남해상일원,내리대행신고소,
19143,9,1,만대항,충남해상일원,내리대행신고소,
19144,11,1,만리포항,충남해상일원,만리포파출소,
19145,11,1,안흥외항,충남해상일원,신진파출소,
19146,3,1,당암항,충남해상일원,당암리대행신고소,
19147,10,1,안흥내항,충남해상일원,신진파출소,
19148,21,1,,충남해상일원,신진파출소,
19149,0,0,,,,
19150,20,2,안흥항,충청남도  연안일원,충청남도 태안군 근흥면 정죽리 안흥항,안흥항
19151,20,2,안흥항,충청남도  연안일원,충청남도 태안군 근흥면 정죽리 안흥항,안흥항
19152,11,1,백사장항,충청남도  연안일원,충청남도 태안군 안면읍 창기리 백사장항,백사장항
19153,11,1,당암항,충청남도  연안일원,충청남도 태안군 남면 당암리 당암항,당암항
19154,8,1,당암항,충청남도  연안일원,충청남도 태안군 남면 당암리 당암항,당암항
19155,14,2,만석부두,인천광역시 및 경기도 해역일원,만석부도,
19156,20,2,인천 동구,경기도 및 인천광역시해역 일원,만석부두,
19157,17,2,인천 동구,경기도 및 인천광역시해역 일원,만석부두,
19158,13,1,인천항,,만석부두,
19159,20,1,만석부두,인천광역시 및 경기도해역일원,연안부두1잔교,
19160,10,1,인천항,인천광역시 및 경기도해역일원,,
19161,10,2,인천동구,,,
19162,20,1,인천 동구,,,
19163,17,1,,,,
19164,21,1,만석부두,,,
19167,1,18,인천 동구,,만석부두,
19168,3,1,황도항,충청남도  연안일원,충청남도 태안군 안면읍 황도리 황도항,황도항
19169,16,1,구매항,충청남도  연안일원,충청남도 태안군 고남면 고남리 구매항,구매항
19170,9,1,신진도항,충청남도  연안일원,충청남도 태안군 근흥면 신진도리 신진도항,신진도항
19171,17,1,안흥항,충청남도  연안일원,충청남도 태안군 근흥면 정죽리 안흥항,안흥항
19172,13,1,황도항,충청남도  연안일원,충청남도 태안군 안면읍 황도리 황도항,황도항
19173,12,1,신진도항,충청남도  연안일원,충청남도 태안군 근흥면 신진도리 신진도항,신진도항
19174,15,1,안흥항,충청남도  연안일원,충청남도 태안군 근흥면 정죽리 안흥항,안흥항
19175,11,1,거제시 일운면,경상남도연해,망치항,
19176,14,1,신진도항,충청남도  연안일원,충청남도 태안군 근흥면 신진도리 신진도항,신진도항
19177,4,1,거제시 동부면,경상남도 연해,다대항,
19178,3,1,옥포항,경상남도 연해,저구항,
19179,8,1,남부면,경상남도 연해,근포항,
19180,4,1,저구항,경상남도 연해,명사항,
19181,7,1,시방항,경상남도 연해,시방항,
19182,16,2,저구항,경상남도해역,경상남도해역,
19183,5,1,,,,
19184,5,1,4831033025,,,
19185,4,1,48310330,,,
19186,11,1,48310330,,,
19187,4,2,구영항,경상남도연해,거제시연안,
19188,6,1,가배항,,,
19189,4,1,법동항,,,
19190,17,2,28000000,인천광역시 및 경기도해역 일원,인천광역시 및 경기도해역 일원,
19191,10,1,28000000,인천광역시 및 경기도 해역 일원,,
19192,16,2,28140000,인천광역시 및 경기도해역 일원,인천광역시 및 경기도해역 일원,
19193,6,1,포항시,경상북도연해,포항시 남구 동해면 임곡항,
19194,7,1,장기면,경북연안,포항시 장기면 영암3리항,
19195,11,1,포항시 구룡포읍,포항시연안,포항시 남구 구룡포읍 삼정3리항,
19196,11,1,포항시 흥해읍,경북연해,영일만신항,
19197,4,1,포항시 흥해읍,경북연해,오도1리항,
19198,4,1,구룡포읍,경북연해,칠포리항,
19199,11,1,포항시 흥해읍,경북연해,영일만신항,
19200,18,1,포항시 흥해읍,경북연해,영일만신항,
19201,10,1,포항시 흥해읍,경북연해,영일만신항,
19202,6,1,포항시 장기면,경북,포항시 남구 장기면 양포항,
19203,4,1,양포항,,경북 포항시 남구 장기면 양포항,
19204,7,2,포항시 장기면,경북연해,경북 포항시 남구 장기면 계원2리,
19205,15,1,포항시 흥해읍,경북연해,영일만신항,
19206,7,1,포항시 구룡포읍,경북연해,영일만신항,
19207,15,1,포항시 구룡포읍,경북연해,영일만신항,
19208,11,1,포항시 흥해읍,경북연해,영일만신항,
19209,11,1,포항시 장기면,경북연안,포항시 남구 장기면 양포항,
19210,8,1,영일만신항,경북연안해역,영일만항,
19211,3,1,장기면,경북연해,,
19212,6,1,포항시 장기면,경북연해,포항시 장기면 양포항,
19213,,,포항시 장기면,경북연해,포항시 남구 장기면 양포항,
19214,17,1,장기면 양포항,경상북도  연안일원,,
19215,18,1,거제시 동부면,경상남도연해,근포항,
21837,14,1,,,,
19216,8,1,거세시 남부면,경상남도연해,대포항,
19217,11,1,거제시 남부면,경상남도연해,근포항,
19218,6,1,장목면 시방항,경상남도연해,이수항,
19219,4,1,일운면 지세포항,경상남도연해,지세포항,
19220,4,1,법동항,경상남도연해,아지랑항,
19221,3,1,동부면 가배항,경상남도연해,가배항,
19222,4,1,거제시 고현항,경상남도연해,근포항,
19223,4,1,둔덕면,경상남도연해,어구항,
19224,3,1,거제시 하청면,경상남도연해,하청항,
19225,3,1,거제시 하청면,경상남도연해,하청항,
19226,4,1,거제시 하청면,경상남도연해,하청항,
19227,5,1,거제시 일운면,경상남도연해,옥림항,
19228,5,1,어구항,경상남도연해,어구항,
19229,6,1,사등면,경상남도연해,성포항,
19230,4,1,거제시 거제면,경상남도연해,경상남도 거제시 거제면 아지랑항,
19231,5,1,거제시 장목면,경상남도연해,외포항,
19232,4,1,거제시 사등면,경상남도연해,광리항,
19233,7,1,거제항,경상남도연해,아지랑항,
19234,3,1,거제면,경상남도연해,내간항,
19235,21,1,신진도항,충청남도  연안일원,충청남도 태안군 근흥면 신진도리 신진도항,신진도항
19236,11,1,신진도항,충청남도  연안일원,충청남도 태안군 근흥면 신진도리 신진도항,신진도항
19237,11,1,신진도항,충청남도  연안일원,충청남도 태안군 근흥면 신진도리 신진도항,신진도항
19238,17,1,안흥항,충청남도  연안일원,충청남도 태안군 근흥면 신진도리 안흥항,안흥항
19239,11,1,방포항,충청남도  연안일원,충청남도 태안군 안면읍 승언8리 방포항,방포항
19240,11,1,학암포항,충청남도  연안일원,충청남도 태안군 원북면 방갈리 학암포항,학암포항
19241,11,1,학암포항,충청남도  연안일원,충청남도 태안군 원북면 방갈리 학암포항,학암포항
19242,4,1,가배항,경상남도연해,함박항,
19243,3,1,거제시 하청면,경상남도연해,유계항,
19244,5,1,거제시 둔덕면,경상남도연해,녹산항,
19245,8,1,,,,
19246,4,1,거제시 장목면,경상남도연해,장목항,
19247,14,1,거제시 남부면,경상남도연해,갈곶항,
19248,4,1,거제시 일운면,경상남도연해,옥림항,
19249,4,1,남부면,경상남도 연해,갈곶항,
19250,4,1,저구항,경상남도 연해,갈곶항,
19251,10,1,갈곶항,경상남도 연해,갈곶항,
19252,6,1,거제시 남부면,경상남도 연해,탑포항,
19253,7,1,다대항,경상남도 연해,다대항,
19254,4,1,한내항,경상남도 연해,실전항,
19255,7,1,일운면 구조라항,경상남도 연해,구조라항,
19256,8,1,거제시 둔덕면,경상남도 연해,녹산항,
19257,11,1,남부면 근포항,경상남도 연해,근포항,
19258,4,1,소랑항,경상남도 연해,소랑항,
19259,5,1,갈곶항,경상남도 연해,도장포항,
19260,20,2,,인천광역시  연안일원,,
19261,14,2,,경상남도 연해,저구항,
19262,11,1,남부면,경상남도 연해,저구항,
19263,4,1,다포항,경상남도 연해,여차항,
19264,,,여차항,경상남도 연해,여차항,
