공간정보일련번호,공간정보,포인트명1,포인트명2,수심범위내용,주원료내용,조수물때내용,낚시방법대상내용,선상낚시포인트도분초위도,선상낚시포인트도분초경도,고시내용,행정구역명
232,POINT (1089852.65051112 1657239.04960145),거제도 북서부,지도부근,15m~18m,펄,조금 전·후,▶감성돔 - 릴찌/ 장대/ 원투 ▶고등어 - 루어/ 릴찌/ 장대▶돌돔 - 릴찌/ 장대/ 원투 ▶보리멸 - 원투▶살오징어 - 에깅 ▶볼락 - 루어/ 릴찌/ 장대 ▶참돔 - 부력/ 잠수,34-54-21.4N,128-29-00.7E,,경상남도 거제시
233,POINT (756289.466752564 1976032.49470627),대청도·소청도,가두암부근,26m~30m,가는 모래,조금 전후,▶넙치 - 루어/ 원투 ▶노래미 - 루어/ 릴찌/ 장대/ 원투▶농어 - 루어/ 릴찌 ▶삼치 - 루어/ 릴찌▶쏨뱅이 - 루어/ 릴찌 ▶우럭 - 릴찌/ 원투,37-45-05.4N,124-44-01.5E,,인천광역시 옹진군
234,POINT (890364.588069573 1808309.70724712),호도·녹도·외연도,석도부근,6.8m~9m,모래,초들물,▶감성돔 - 릴찌/ 장대/ 원투 ▶갑오징어 - 에깅▶넙치 - 루어/ 원투 ▶농어 - 루어/ 릴찌▶노래미 - 루어/ 릴찌/ 장대/ 원투▶우럭 - 릴찌/ 원투,36-15-57.0N,126-16-46.1E,,충청남도 보령시
237,POINT (1037970.65759105 1661281.63827615),남해도 북부,왕지마을앞바다,1.2~10.9,펄/ 모래,초들물~중날,▶참돔 - 부력/ 잠수▶농어 - 루어/ 릴찌▶노래미 - 루어/ 릴찌/ 장대/ 원투▶볼락 - 릴찌/ 장대/ 루어▶우럭 - 릴찌/ 원투,34-56-44.4N,127-54-57.0E,,경상남도 남해군
238,POINT (887874.4066671521 1553595.0824458),추자도,다무레미북측해상,12.8~16.2,암,들물/썰물,▶감성돔 - 릴찌/ 장대/ 원투▶돌돔 - 민장대/ 릴찌/ 원투▶자리돔 - 장대/ 카드▶농어 - 루어/ 릴찌▶볼락 - 루어/ 릴찌/ 장대▶참돔 - 부력/ 잠수,33-58-09.3N,126-17-10.7E,,제주특별자치도 제주시
239,POINT (813474.23073189 1580714.97803357),만재도,만재도남측선상,20.5~22m,암,조금 전후,▶ 돌돔 - 릴찌/ 장대/ 원투▶ 참돔 - 부력/ 잠수▶ 감성돔 - 릴찌/ 장대/ 원투▶ 우럭 - 릴찌/ 원투▶ 광어 - 릴찌/ 원투▶ 농어 - 루어/ 릴찌▶ 볼락 - 릴찌/ 장대/ 루어▶ 문어 - 루어,34-12-11.207N,125-28-31.826E,,전라남도 신안군
240,POINT (929142.8033426 1599703.0419681),완도,납당여부근해상,3.0~6.0,펄,초들물~중날물,▶숭어 - 릴찌/ 장대/ 홀치기▶우럭 - 릴찌/ 원투▶농어 - 루어/ 릴찌▶감성돔 - 릴찌/ 장대/ 원투▶참돔 - 부력/ 잠수▶붕장어 - 원투,34-23-19.1N,126-43-45.1E,,전라남도 완도군
241,POINT (855341.598749383 1629191.17830054),비금도·도초도,종달암부근,28m~32m,펄,초들물~중들물,▶감성돔 - 릴찌/ 장대/ 원투 ▶농어 - 루어/ 릴찌▶돌돔 - 릴찌/ 장대/ 원투 ▶볼락 - 루어/ 릴찌/ 장대▶붕장어 - 원투 ▶우럭 - 릴찌/ 원투 ▶참돔 - 부력/ 잠수,34-38-48.4N,125-55-17.6E,,전라남도 신안군
242,POINT (1046700.86468759 1648950.74791999),남해도 동부·신수도·창선도,지족리앞바다,0.4~1.5,암,초들물~중날물,▶참돔 - 부력/ 잠수▶농어 - 루어/ 릴찌▶노래미 - 루어/ 릴찌/ 장대/ 원투▶볼락 - 릴찌/ 장대/ 루어▶우럭 - 릴찌/ 원투,34-50-2.8N,128-0-38.7E,,경상남도 남해군
243,POINT (947481.510564958 1501191.98146394),제주도 북동부·우도,산호샤홍조단괴해수욕장앞해상,7.9~13.3,암,들물/날물,▶참돔 - 부력/ 잠수▶돌돔 - 민장대/ 릴찌/ 원투▶볼락 - 루어/ 릴찌/ 장대▶벵에돔 - 목줄/ 장대/ 부력/ 잠수▶무늬오징어 - 에깅▶독가시치 - 목줄/ 장대/ 부력/ 잠수,33-30-04.7N,126-56-04.5E,,제주특별자치도 제주시
244,POINT (849444.1790021871 1581399.78761792),거차수도 부근,명도부근해상,23.5~28.5m,암,1물~4물,▶ 참돔  -  부력/ 잠수▶ 감성돔  -  릴찌/ 장대/ 원투▶ 돌돔  -  릴찌/ 장대/ 원투▶ 우럭  -  릴찌/ 원투▶ 농어  -  루어/ 릴찌▶ 부시리  -  부력/ 잠수/ 지깅,34-12-54.390N,125-51-56.298E,,전라남도 진도군
245,POINT (1028151.85321859 1607933.21079052),연도,신강서인근해상,26~29.5m,암,초들물/ 초날물/ 조금 전·후,▶ 참돔  -  부력/ 잠수▶ 감성돔  -  릴찌/ 장대/ 원투▶ 볼락  -  릴찌/ 장대/ 루어▶ 농어/  삼치  -  루어/ 릴찌▶ 돌돔  -  민장대/ 릴찌/ 원투▶ 갑오징어  -  에깅,34-27-53.656N,127-48-23.491E,,전라남도 여수시
246,POINT (1026878.47836397 1605291.33301939),연도,땅포앞인근해상,9.7~23.5m,암,초들물/ 초날물/ 조금 전·후,▶ 참돔  -  부력/ 잠수▶ 감성돔  -  릴찌/ 장대/ 원투▶ 볼락  -  릴찌/ 장대/ 루어▶ 농어/  삼치  -  루어/ 릴찌▶ 돌돔  -  민장대/ 릴찌/ 원투▶ 갑오징어  -  에깅,34-26-28.009N,127-47-33.279E,,전라남도 여수시
247,POINT (790733.493840483 1635941.65702661),홍도,공작새바위인근,26~31m,암,조금 전후,▶ 참돔  -  부력/ 잠수▶ 돌돔  -  릴찌/ 장대/ 원투▶ 감성돔  -  릴찌/ 장대/ 원투▶ 우럭  -  릴찌/ 원투▶ 농어  -  루어/ 릴찌,34-41-47.207N,125-12-55.191E,,전라남도 신안군
248,POINT (884704.223875133 1732665.72045247),왕등도·위도,위도외조도부근,16m~19m,바위,중썰물~끝썰물,▶감성돔 - 릴찌/ 장대/ 원투 ▶넙치 - 루어/ 원투▶노래미 - 루어/ 릴찌/ 장대/ 원투 ▶농어 - 루어/ 릴찌▶숭어 - 릴찌/ 장대/ 훌치기 ▶우럭 - 릴찌/ 원투,35-35-00.0N,126-13-38.8E,,전라북도 부안군
249,POINT (1122525.84585486 1670396.46088181),가덕도,대항새바지에서누릉여사이해상,10.0~11.6,암,5물~9물,▶볼락 - 릴찌/ 장대/ 루어▶고등어 - 루어/ 릴찌/ 장대▶벵에돔 - 목줄/ 장대/ 부력/ 잠수▶볼락 - 릴찌/ 장대/ 루어▶학꽁치 - 릴찌/ 장대▶감성돔 - 릴찌/ 장대/ 원투,35-01-16.1N,128-50-34.9E,,부산광역시 강서구
250,POINT (888041.420899986 1553719.19617784),추자군도,대서리인근해상,28.5~29.5m,암,조금 전후/ 1~4물,▶ 감성돔  -  릴찌/ 장대/ 원투▶ 벵에돔 - 목줄/ 장대/ 부력/ 잠수▶ 참돔  -  부력/ 잠수▶ 돌돔 - 민장대/ 릴찌/ 원투▶ 볼락 - 릴찌/ 장대/ 루어▶ 부시리 - 부력/ 잠수/ 지깅,33-58-13.393N,126-17-17.150E,,제주특별자치도 제주시
251,POINT (940092.321583417 1589251.76153109),신지도,신지도최남단앞바다,13.5m~18m,펄/ 조개껍질,사리 전·후,▶감성돔 - 릴찌/ 장대/ 원투 ▶돌돔 - 릴찌/ 장대/ 원투▶볼락 - 루어/ 릴찌/ 장대 ▶붕장어 - 원투▶우럭 - 릴찌/ 원투 ▶참돔 - 부력/ 잠수 ▶학공치 - 릴찌/ 장대,34-17-42.3N,126-50-56.5E,,전라남도 완도군
252,POINT (1027377.15009711 1649784.5104734),남해도 북부,남상리앞바다,21.7~22.4,암,초들물~중날,▶참돔 - 부력/ 잠수▶농어 - 루어/ 릴찌▶노래미 - 루어/ 릴찌/ 장대/ 원투▶볼락 - 릴찌/ 장대/ 루어▶우럭 - 릴찌/ 원투,34-50-32.4N,127-47-58.0E,,경상남도 남해군
253,POINT (892925.110687998 1553414.40408517),추자군도,하추자도북측해상,31~32m,암/ 자갈,조금 전후/ 1~4물,▶ 감성돔  -  릴찌/ 장대/ 원투▶ 벵에돔 - 목줄/ 장대/ 부력/ 잠수▶ 참돔  -  부력/ 잠수▶ 돌돔 - 민장대/ 릴찌/ 원투▶ 볼락 - 릴찌/ 장대/ 루어▶ 부시리 - 부력/ 잠수/ 지깅,33-58-05.332N,126-20-27.559E,,제주특별자치도 제주시
254,POINT (867501.0351490431 1651616.25856216),자은도,원도부근,10~16.3,암,초들물~중날,▶감성돔 - 릴찌/ 장대/ 원투▶숭어 - 릴찌/ 장대/ 홀치기▶농어 - 루어/ 릴찌,34-51-02.1N,126-03-02.4E,,전라남도 신안군
255,POINT (1102544.1092012 1668451.88706098),칠천도·가조도,황덕도부근해상,6.0~13,펄,초들물~중날물,▶감성돔 - 릴찌/ 장대/ 원투▶노래미 - 루어/ 릴찌/ 장대/ 원투▶갑오징어 - 에깅▶도다리 - 원투▶볼락 - 릴찌/ 장대/ 루어,35-00-21.0N,128-37-25.7E,,경상남도 거제시
256,POINT (906494.79511994 1750346.87635847),십이동파도·비안도,비안도두리도부근,4.3m~5.1m,가는 모래,들물 전·후,▶넙치 - 루어/ 원투 ▶노래미 - 루어/ 릴찌/ 장대/ 원투▶농어 - 루어/ 릴찌 ▶붕장어 - 원투▶우럭 - 릴찌/ 원투,35-44-42.1N,126-27-57.1E,,전라북도 군산시
257,POINT (814393.882492017 1580906.93811592),만재도,만재도동측선상,12~20m,암,조금 전후,▶ 돌돔 - 릴찌/ 장대/ 원투▶ 참돔 - 부력/ 잠수▶ 감성돔 - 릴찌/ 장대/ 원투▶ 우럭 - 릴찌/ 원투▶ 광어 - 릴찌/ 원투▶ 농어 - 루어/ 릴찌▶ 볼락 - 릴찌/ 장대/ 루어▶ 문어 - 루어,34-12-18.027N,125-29-07.592E,,전라남도 신안군
258,POINT (874860.464134911 1586861.70224025),독거군도 부근,슬도북쪽해상,23~28.5m,암,1물~4물,▶ 참돔  -  부력/ 잠수▶ 감성돔  -  릴찌/ 장대/ 원투▶ 돌돔  -  릴찌/ 장대/ 원투▶ 광어 - 릴찌/ 원투▶ 농어  -  루어/ 릴찌,34-16-03.789N,126-08-26.443E,,전라남도 진도군
259,POINT (1027830.38410499 1614824.09131067),금오도·안도,배다서부근,27m~32m,펄,조금 전·후,▶감성돔 -릴찌/ 장대/ 원투 ▶돌돔 - 릴찌/ 장대/ 원투▶벵에돔 - 목줄/ 장대/ 부력/ 잠수 ▶볼락 - 루어/ 릴찌/ 장대▶우럭 -릴찌/ 원투 ▶참돔 - 부력/ 잠수 ▶학공치 - 릴찌/ 장대,34-31-37.4N,127-48-11.7E,,전라남도 여수시
260,POINT (895225.736006807 1916292.37304081),자월도,월암두(부근여)부근,13m~17m,조개껍질/ 펄,들물/ 날물,▶농어 - 루어/ 릴찌 ▶우럭 - 릴찌/ 원투,37-14-22.6N,126-19-07.5E,,인천광역시 옹진군
261,POINT (906171.3302432231 1929875.47663374),무의도,해녀도부근해상,2.3~3.6,펄/ 모래,중들물~중날물,▶숭어 - 릴찌/ 장대/ 홀치기▶노래미 - 루어/ 릴찌/ 장대/ 원투▶붕장어 - 원투▶우럭 - 릴찌/ 원투▶삼치 - 루어/ 릴찌▶주꾸미 - 릴찌/ 원투,37-21-47.5N,126-26-25.5E,,인천광역시 중구
262,POINT (1021433.62346084 1622788.04515061),돌산도,신기마을앞노란색부표부근,7.9~22,펄,초들물~중날물,▶참돔 - 부력/ 잠수▶농어 - 루어/ 릴찌▶노래미 - 루어/ 릴찌/ 장대/ 원투▶볼락 - 릴찌/ 장대/ 루어▶우럭 - 릴찌/ 원투▶붕장어 - 원투,34-35-56.5N,127-44-01.5E,,전라남도 여수시
263,POINT (814832.97408745 1581546.52368828),만재도,국도북측선상,25~28m,암,조금 전후,▶ 돌돔 - 릴찌/ 장대/ 원투▶ 참돔 - 부력/ 잠수▶ 감성돔 - 릴찌/ 장대/ 원투▶ 우럭 - 릴찌/ 원투▶ 광어 - 릴찌/ 원투▶ 농어 - 루어/ 릴찌▶ 볼락 - 릴찌/ 장대/ 루어▶ 문어 - 루어,34-12-39.061N,125-29-24.247E,,전라남도 신안군
264,POINT (1018721.64979025 1655572.39144483),광양만 부근,여수대교부근,9.7~13m,암,5물~10물,▶ 붕장어  -  원투▶ 망둥어  -  릴찌/ 장대▶ 숭어  -  릴찌/ 장대/ 훌치기▶ 감성돔  -  릴찌/ 장대/ 원투▶ 농어  -  루어/ 릴찌▶ 노래미  -  루어/ 릴찌/ 장대/ 원투▶ 볼락  -  릴찌/ 장대/ 루어▶ 도다리  -  원투,34-53-41.000N,127-42-17.650E,,전라남도 광양시
265,POINT (1047114.15311957 1658958.36988447),남해도 동부·신수도·창선도,후박방파제앞해상,6.4~11.7,펄/ 모래,초들물~중날물,▶참돔 - 부력/ 잠수▶농어 - 루어/ 릴찌▶노래미 - 루어/ 릴찌/ 장대/ 원투▶볼락 - 릴찌/ 장대/ 루어▶우럭 - 릴찌/ 원투,34-55-27.6N,128-00-57.0E,,경상남도 남해군
266,POINT (812512.7256985119 1581865.31842097),만재도,만재도서측선상,10.5~14m,암,조금 전후,▶ 돌돔 - 릴찌/ 장대/ 원투▶ 참돔 - 부력/ 잠수▶ 감성돔 - 릴찌/ 장대/ 원투▶ 우럭 - 릴찌/ 원투▶ 광어 - 릴찌/ 원투▶ 농어 - 루어/ 릴찌▶ 볼락 - 릴찌/ 장대/ 루어▶ 문어 - 루어,34-12-47.910N,125-27-53.380E,,전라남도 신안군
267,POINT (896287.518418898 1968719.63886489),석모도,선모도부근해상,-0.8~0.6,펄,초들물~중날물,▶농어 - 루어/ 릴찌▶숭어 - 릴찌/ 장대/ 홀치기▶우럭 - 릴찌/ 원투▶망둥어 - 릴찌/ 장대,37-42-43.9N,126-19-24.0E,,인천광역시 강화군
301,POINT (1091841.59704977 1664141.52241572),칠천도·가조도,마당서부근해상,15.3~16.7,펄,초들물~중날물,▶감성돔 - 릴찌/ 장대/ 원투▶노래미 - 루어/ 릴찌/ 장대/ 원투▶갑오징어 - 에깅▶도다리 - 원투▶볼락 - 릴찌/ 장대/ 루어,34-58-04.8N,128-30-21.8.E,,경상남도 거제시
268,POINT (1134435.12539107 1671909.95135662),부산항 부근,몰운대전망대해상,11.7~15m,펄,조금전후/ 1물~5물,▶ 쥐노래미 - 루어/ 릴찌/ 장대/ 원투▶ 고등어 - 장대/ 릴찌/ 루어▶ 벵에돔 - 목줄/ 장대/ 부력/ 잠수▶ 숭어 - 릴찌/ 장대/ 훌치기▶ 감성돔 - 릴찌/ 장대/ 원투▶ 참돔 - 부력/ 잠수▶ 부시리 - 부력/ 잠수/ 지깅▶ 학꽁치 - 릴찌/  장대▶ 볼락 - 릴찌/ 장대/ 루어▶ 우럭 - 릴찌/ 원투▶ 농어 - 루어/ 릴찌,35-01-59.763N,128-58-25.593E,,부산광역시 영도구
269,POINT (902333.357136048 1948742.96128164),시도,부도부근해상,-3.0~1.7,자갈/ 모래,초들물~중날물,▶숭어 - 릴찌/ 장대/ 홀치기▶노래미 - 루어/ 릴찌/ 장대/ 원투▶붕장어 - 원투▶우럭 - 릴찌/ 원투▶삼치 - 루어/ 릴찌▶주꾸미 - 릴찌/ 원투/ 장대,37-31-58.2N,126-23-40.5E,,인천광역시 옹진군
270,POINT (959804.912415883 1577916.41017921),황제도,알매섬해상,22~30m,암,조금 전후/ 2~3물,▶ 감성돔  -  릴찌/ 장대/ 원투▶ 참돔  -  부력/ 잠수▶ 돌돔  -  릴찌/ 장대/ 원투▶ 농어  -  루어/ 릴찌▶ 광어  -  릴찌/ 원투▶ 볼락  -  릴찌/ 장대/ 루어,34-11-37.711N,127-03-49.503E,,전라남도 완도군
271,POINT (1073548.80937844 1639370.46921961),추도 부근,개바위끝부근,21~23.5m,암,6물~8물,▶ 볼락 - 릴찌/ 장대/ 루어▶ 우럭 - 릴찌/ 원투▶ 주꾸미 - 릴찌/ 원투▶ 광어 - 릴찌/ 원투▶ 감성돔 - 릴찌/ 장대/ 원투▶ 벵에돔 - 목줄/ 장대/ 부력/ 잠수▶ 참돔 - 부력/ 잠수,34-44-46.104N,128-18-12.660E,,경상남도 통영시
272,POINT (889972.9275023671 1910355.21384553),이작도·승봉도,오형제바위앞바다,13m~22m,펄,,▶넙치 - 루어/ 원투 ▶노래미 - 루어/ 릴찌/ 장대/ 원투▶농어 - 루어/ 릴찌 ▶숭어 - 릴찌/ 장대/ 훌치기 ▶우럭 - 릴찌/ 원투,37-11-07.8N,126-15-37.5E,,인천광역시 옹진군
273,POINT (864509.5867704761 1790920.94234383),어청도·연도,어청도가진서부근,22m~30m,모래,들물/ 날물,▶넙치 - 루어/ 원투 ▶농어 - 루어/ 릴찌▶돌돔 - 릴찌/ 장대/ 원투 ▶방어 - 부력/ 잠수/ 지깅,36-06-21.0N,125-59-41.0E,,전라북도 군산시
274,POINT (993988.92677094 1610992.56326844),나로도,숨은여부근,5m~7m,모래,초들물~만조,▶감성돔 - 릴찌/ 장대/ 원투 ▶농어 - 루어/ 릴찌▶도다리 - 원투 ▶볼락 - 루어/ 릴찌/ 장대▶숭어 - 릴찌/ 장대/ 훌치기 ▶학공치 - 릴찌/ 장대,34-29-34.3N,127-26-04.3E,,전라남도 고흥군
275,POINT (1095779.58041503 1628403.88700121),비진도·매물도,대매물도가익도부근,43m~47m,펄/ 모래/ 조개껍질,조금 전·후,▶감성돔 - 릴찌/ 장대/ 원투 ▶돌돔 - 릴찌/ 장대/ 원투▶볼락 - 루어/ 릴찌/ 장대 ▶우럭 - 릴찌/ 원투▶벵에돔 - 목줄/ 장대/ 부력/ 잠수 ▶참돔 - 부력/ 잠수,34-38-43.5N,128-32-42.4E,,경상남도 통영시
276,POINT (861856.0463970611 1897360.25902482),백아도·굴업도,백아도오도부근,6.2m~10m,펄,1~3물/ 조금 전·후,▶넙치 - 루어/ 원투 ▶노래미 - 루어/ 릴찌/ 장대/ 원투▶농어 - 루어/ 릴찌 ▶붕장어 - 원투 ▶우럭 - 릴찌/ 원투,37-03-52.8N,125-56-46.1E,백아도 기차바위 부근/ 백아도 서쪽 곶부리/ 굴업도 마을 북쪽  갯바위 포인트는 진입이 어려워 낚싯배 및 등산로를 이용해야하고 갯바위가 협소하므로 초보자는 안전에 주의해야 한다.,인천광역시 옹진군
277,POINT (1108870.20133785 1637603.85660784),거제도 남부,갈곶도부근,38m~55m,자갈/ 조개껍질,조금 전·후,▶감성돔 - 릴찌/ 장대/ 원투 ▶돌돔 - 릴찌/ 장대/ 원투▶벵에돔 - 목줄/ 장대/ 부력/ 잠수 ▶우럭 - 릴찌/ 원투▶볼락 - 루어/ 릴찌/ 장대 ▶참돔 - 부력/ 잠수,34-43-37.4N,128-41-20.8E,,경상남도 거제시
278,POINT (892382.226455564 1907648.64724621),이작도·승봉도,송곳부리앞바다,8.4m~10m,모래/ 펄/ 조개껍질,,▶넙치 - 루어/ 원투 ▶노래미 - 루어/ 릴찌/ 장대/ 원투▶농어 - 루어/ 릴찌 ▶숭어 - 릴찌/ 장대/ 훌치기 ▶우럭 - 릴찌/ 원투,37-09-41.0N,126-17-16.6E,,인천광역시 옹진군
279,POINT (885316.5822634131 1776533.74677251),십이동파도·비안도,십이동파도소금도남서측바다,27m~29.3m,펄/ 조개껍질,들물 전·후,▶감성돔 - 릴찌/ 장대/ 원투 ▶갑오징어 - 에깅▶넙치 - 루어/ 원투 ▶노래미 - 루어/ 릴찌/ 장대/ 원투▶농어 - 루어/ 릴찌 ▶우럭 - 릴찌/ 원투 ▶참돔 - 부력/ 잠수,35-58-43.8N,126-13-40.5E,,전라북도 군산시
280,POINT (900242.987302026 1759539.1064594),선유도·무녀도·장자도·신시도,광서부근,6m~8m,자갈/ 조개껍질,조금 전·후,▶넙치 - 루어/ 원투 ▶노래미 - 루어/ 릴찌/ 장대/ 원투▶농어 - 루어/ 릴찌 ▶붕장어 - 원투▶삼치 - 루어/ 릴찌 ▶우럭 - 릴찌/ 원투 ▶양태 - 루어/ 릴찌,35-49-38.2N,126-23-44.1E,,전라북도 군산시
281,POINT (889548.850186258 1908107.60943814),이작도·승봉도,작은풀안해수욕장앞바다,17m~20m,모래/ 펄,,▶넙치 - 루어/ 원투 ▶노래미 - 루어/ 릴찌/ 장대/ 원투▶농어 - 루어/ 릴찌 ▶숭어 - 릴찌/ 장대/ 훌치기 ▶우럭 - 릴찌/ 원투,37-09-54.7N,126-15-21.5E,,인천광역시 옹진군
282,POINT (871002.059198012 1804778.18797538),호도·녹도·외연도,흑서부근,14m~16m,펄,조금 전·후,▶감성돔 - 릴찌/ 장대/ 원투 ▶갑오징어 - 에깅▶넙치 - 루어/ 원투 ▶노래미 - 루어/ 릴찌/ 장대/ 원투▶농어 - 루어/ 릴찌 ▶우럭 - 릴찌/ 원투 ▶참돔 - 부력/ 잠수,36-13-53.8N,126-03-52.4E,,충청남도 보령시
283,POINT (976118.953330575 1612037.79161408),거금도,감등서부근,18m~23m,펄,초들물,▶감성돔 - 릴찌/ 장대/ 원투 ▶농어 - 루어/ 릴찌▶도다리 - 원투 ▶돌돔 - 릴찌/ 장대/ 원투▶붕장어 - 원투 ▶숭어 - 릴찌/ 장대/ 훌치기 ▶우럭 - 릴찌/ 원투,34-30-07.3N,127-14-23.5E,,전라남도 고흥군
284,POINT (1089692.30631966 1659612.82031183),거제도 북서부,수도부근,15m~17m,펄,조금 전·후,▶감성돔 - 릴찌/ 장대/ 원투 ▶고등어 - 루어/ 릴찌/ 장대▶돌돔 - 릴찌/ 장대/ 원투 ▶보리멸 - 원투▶살오징어 - 에깅 ▶볼락 - 루어/ 릴찌/ 장대 ▶참돔 - 부력/ 잠수,34-55-38.5N,128-28-55.3E,,경상남도 거제시
302,POINT (778481.217193135 1570605.62650236),가거도,두억서부근해상,11.2~17.9,암,초들물~중날물,▶감성돔 - 릴찌/ 장대/ 원투▶노래미 - 루어/ 릴찌/ 장대/ 원투▶참돔 - 릴찌▶농어 - 루어▶볼락 - 릴찌/ 장대/ 루어▶우럭 - 루어/ 릴찌/ 장대/ 원투▶돌돔 - 릴찌 ▶부시리 - 루어,34-06-18.6N,125-05-54.8E,,전라남도 신안군
285,POINT (855816.858103856 1645543.29753197),비금도·도초도,우세도부근,7m~10m,펄,날물,▶감성돔 - 릴찌/ 장대/ 원투 ▶농어 - 루어/ 릴찌▶돌돔 - 릴찌/ 장대/ 원투 ▶볼락 - 루어/ 릴찌/ 장대▶붕장어 - 원투 ▶우럭 - 릴찌/ 원투 ▶참돔 - 부력/ 잠수,34-47-39.3N,125-55-26.2E,비금도 용머리 바위/ 비금도 통섭바위 부근/ 도초도 지남리 남쪽 곶부리/ 도초도 문바위 부근 포인트는 보팅 및 낚싯배로 진입해야 하고 산세가 가파르며 낚시자리가 좁고 미끄러운 곳이 많아 다른 사람과 부딪히거나 미끄러지지 않게 주의해야 한다.,전라남도 신안군
286,POINT (873348.5749765391 1738872.15840949),왕등도·위도,하왕등도서쪽바다,28m~34m,펄,조금 전·후,▶감성돔 - 릴찌/ 장대/ 원투 ▶넙치 - 루어/ 원투▶농어 - 루어/ 릴찌 ▶돌돔 - 릴찌/ 장대/ 원투▶붕장어 - 원투 ▶우럭 - 릴찌/ 원투 ▶참돔 - 부력/ 잠수,35-38-16.4N,126-06-04.2E,왕등도와 방파제 외에 갯바위 포인트와 위도 철탑 부근/ 위도 모여 부근 갯바위 포인트는 진입이 어렵고/  갯바위가 협소하므로 초보자는 안전에 주의해야 한다.,전라북도 부안군
287,POINT (913155.368684082 1899811.66738313),입파도·국화도,입파도남서측바다,31m~34m,펄/ 모래,조금 전·후,▶넙치 - 루어/ 원투 ▶노래미 - 루어/ 릴찌/ 장대/ 원투▶도다리 - 원투 ▶붕장어 - 원투▶우럭 - 릴찌/ 원투,37-05-34.5N,126-31-22.0E,,경기도 화성시
288,POINT (946309.2000829561 1501959.16240361),제주도 북동부·우도,종달리포구앞해상,11.7~16.9,암,들물/날물,▶참돔 - 부력/ 잠수▶돌돔 - 민장대/ 릴찌/ 원투▶볼락 - 루어/ 릴찌/ 장대▶벵에돔 - 목줄/ 장대/ 부력/ 잠수▶무늬오징어 - 에깅▶독가시치 - 목줄/ 장대/ 부력/ 잠수,33-30-29.4N,126-55-18.9E,,제주특별자치도 제주시
289,POINT (1051903.84479745 1651899.05378848),남해도 동부·신수도·창선도,적량마을앞해상,3.5~16.4,암,초들물~중날물,▶볼락 - 릴찌/ 장대/ 루어▶고등어 - 루어/ 릴찌/ 장대▶벵에돔 - 목줄/ 장대/ 잠수▶볼락 - 릴찌/ 장대/ 루어▶고등어 - 루어/ 릴찌/ 장대▶벵에돔 - 목줄/ 장대/ 부력,34-51-37.6N,128-04-04.2E,,경상남도 남해군
290,POINT (896709.663952138 1647925.39898324),압해도,압해도선착장앞해상,12.9~19.6,펄,초들물~중날물,▶감성돔 - 릴찌/ 장대/ 원투 ▶노래미 - 루어/ 릴찌/ 장대/ 원투 ▶농어 - 루어/ 릴찌▶볼락 - 릴찌/ 장대/ 루어 ▶붕장어 - 원투 ▶우럭 - 릴찌/ 원투,34-49-14.5N,126-22-14.0E,,전라남도 신안군
291,POINT (855418.48581245 1582640.80576275),거차수도 부근,동거차해수욕장해상,23~24.5m,암,1물~4물,▶ 참돔  -  부력/ 잠수▶ 감성돔  -  릴찌/ 장대/ 원투▶ 돌돔  -  릴찌/ 장대/ 원투▶ 우럭  -  릴찌/ 원투▶ 농어  -  루어/ 릴찌▶ 부시리  -  부력/ 잠수/ 지깅,34-13-37.716N,125-55-48.947E,,전라남도 진도군
306,POINT (875873.005686549 1585607.81447684),독거군도 부근,소슬도해상,22.5~23m,암,1물~4물,▶ 참돔  -  부력/ 잠수▶ 감성돔  -  릴찌/ 장대/ 원투▶ 돌돔  -  릴찌/ 장대/ 원투▶ 광어 - 릴찌/ 원투▶ 농어  -  루어/ 릴찌,34-15-23.528N,126-09-06.678E,,전라남도 진도군
292,POINT (874987.2384059919 1741446.85025521),왕등도·위도,상왕등도대구섬부근,17m~23m,가는 모래/ 펄,조금 전·후,▶감성돔 - 릴찌/ 장대/ 원투 ▶넙치 - 루어/ 원투▶농어 - 루어/ 릴찌 ▶돌돔 - 릴찌/ 장대/ 원투▶붕장어 - 원투 ▶우럭 - 릴찌/ 원투 ▶참돔 - 부력/ 잠수,35-39-40.7N,126-07-07.9E,,전라북도 부안군
293,POINT (903361.9557762721 1788707.65687384),어청도·연도,연도북서쪽부근,10m~14m,모래,들물/ 날물,▶감성돔 - 릴찌/ 장대/ 원투 ▶넙치 - 루어/ 원투▶농어 - 루어/ 릴찌 ▶보구치 - 원투▶우럭 - 릴찌/ 원투 ▶장대 - 루어/ 릴찌,36-05-25.9N,126-25-35.6E,,전라북도 군산시
294,POINT (932257.980596869 1573136.64469423),청산도·대모도,불근도부근,24m~30m,펄,4물~사리,▶감성돔 - 릴찌/ 장대/ 원투 ▶농어 - 루어/ 릴찌▶노래미 - 루어/ 릴찌/ 장대/ 원투 ▶우럭 - 릴찌/ 원투▶볼락 - 루어/ 릴찌/ 장대 ▶참돔 - 부력/ 잠수,34-08-57.4N,126-45-54.6E,,전라남도 완도군
